# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-5783
# Timestamp: Fri, 13-Aug-2021 12:13:54
Gene ID	Gene Name	'Crohn's disease' vs 'normal' .foldChange	'Crohn's disease' vs 'normal'.pValue
ENSG00000010165	EEF1AKNMT	-0.4	0.1440740571308
ENSG00000010219	DYRK4	-0.2	0.549317028324153
ENSG00000010244	ZNF207	0.1	0.469615404400972
ENSG00000010256	UQCRC1	-0.5	0.0195635791578219
ENSG00000010270	STARD3NL	0.6	0.0144124043437405
ENSG00000010278	CD9	0.5	6.37448097294149E-4
ENSG00000010295	IFFO1	-0.2	0.452042129952184
ENSG00000010318	PHF7	-0.2	0.677307134442991
ENSG00000010319	SEMA3G	-0.2	0.652693444722051
ENSG00000010322	NISCH	-0.4	0.0358625858881947
ENSG00000010327	STAB1	-0.3	0.259035562715651
ENSG00000010361	FUZ	-0.3	0.588906715688208
ENSG00000010379	SLC6A13	-0.5	0.330225366629836
ENSG00000010404	IDS	-0.3	0.0221963841263345
ENSG00000010438	PRSS3	-0.5	0.0999047274728267
ENSG00000010610	CD4	0.1	0.838650192818029
ENSG00000010626	LRRC23	0.1	0.922249356099003
ENSG00000010671	BTK	0.5	0.120999487730245
ENSG00000010704	HFE	0.3	0.539429112482125
ENSG00000010803	SCMH1	-0.1	0.537700978816381
ENSG00000010932	FMO1	-0.7	0.02087531852136
ENSG00000011007	ELOA	-0.1	0.706288988127533
ENSG00000011009	LYPLA2	0.5	0.0288562251534723
ENSG00000011028	MRC2	0.4	0.123497522285641
ENSG00000011083	SLC6A7	-0.2	0.645724789991473
ENSG00000011105	TSPAN9	0.2	0.718030149795349
ENSG00000011114	BTBD7	-0.1	0.566625192946524
ENSG00000011132	APBA3	-0.8	0.0505383042094823
ENSG00000011143	MKS1	0.4	0.162949346471791
ENSG00000011243	AKAP8L	-0.6	9.21582553167542E-4
ENSG00000011258	MBTD1	-0.2	0.248049137717482
ENSG00000011260	UTP18	0.4	0.371789233588361
ENSG00000011275	RNF216	-0.2	0.456427574048394
ENSG00000011295	TTC19	-0.2	0.0314399030576262
ENSG00000011304	PTBP1	0.3	0.0993864196342161
ENSG00000011332	DPF1	1.2	0.00416136336270009
ENSG00000011347	SYT7	-0.5	0.0983572038022774
ENSG00000011405	PIK3C2A	-0.2	0.191302373732122
ENSG00000011422	PLAUR	0.7	0.01884266461951
ENSG00000011426	ANLN	-0.2	0.592364928052239
ENSG00000011451	WIZ	-0.3	0.185409786632412
ENSG00000011454	RABGAP1	-0.1	0.503569247879827
ENSG00000011465	DCN	-0.2	0.428985833958409
ENSG00000011478	QPCTL	-0.3	0.637341377684217
ENSG00000011485	PPP5C	0.3	0.360167222539217
ENSG00000011523	CEP68	-0.5	0.00746893700190176
ENSG00000011566	MAP4K3	0.1	0.537560503224562
ENSG00000011590	ZBTB32	-0.1	0.923323926552227
ENSG00000011600	TYROBP	0.3	0.212805617970564
ENSG00000011638	TMEM159	-0.4	0.4189799224367
ENSG00000012048	BRCA1	-0.3	0.394762993987871
ENSG00000012061	ERCC1	-0.3	0.30529344698721
ENSG00000012124	CD22	-0.5	0.232409166205897
ENSG00000012171	SEMA3B	-0.2	0.599977355805246
ENSG00000012211	PRICKLE3	0.2	0.81077995624361
ENSG00000012223	LTF	-0.1	0.935680444185118
ENSG00000012232	EXTL3	0.2	0.517609760302582
ENSG00000012504	NR1H4	-0.5	0.0180824765209975
ENSG00000012660	ELOVL5	0.2	0.564266883832709
ENSG00000012779	ALOX5	-0.5	0.153501101066846
ENSG00000012817	KDM5D	0.3	0.66858491538444
ENSG00000012822	CALCOCO1	-0.2	0.336401104177714
ENSG00000012963	UBR7	-0.2	0.353548770526346
ENSG00000012983	MAP4K5	0.2	0.382258462750635
ENSG00000013016	EHD3	0.2	0.507912969800959
ENSG00000013275	PSMC4	-0.1	0.833465010315008
ENSG00000013288	MAN2B2	0.2	0.252248430398645
ENSG00000013293	SLC7A14	-0.3	0.498336086429026
ENSG00000013297	CLDN11	0.7	0.0110866732666692
ENSG00000013306	SLC25A39	-0.1	0.869665510326457
ENSG00000013364	MVP	-0.5	0.00130965543430342
ENSG00000013374	NUB1	-0.1	0.509082730983922
ENSG00000013375	PGM3	0.1	0.80418126612645
ENSG00000013392	RWDD2A	-0.2	0.777154198939288
ENSG00000013441	CLK1	0.2	0.462583834869904
ENSG00000013503	POLR3B	-0.2	0.488852423342388
ENSG00000013523	ANGEL1	0.3	0.446805002599796
ENSG00000013561	RNF14	0.6	9.5786914198583E-4
ENSG00000013563	DNASE1L1	-0.5	0.0597999432114472
ENSG00000013573	DDX11	0.2	0.795749206142195
ENSG00000013583	HEBP1	-0.3	0.140183099048728
ENSG00000013619	MAMLD1	-0.1	0.836173945468869
ENSG00000013725	CD6	0.4	0.41002427554602
ENSG00000013810	TACC3	0.1	0.890770469265558
ENSG00000014123	UFL1	0.1	0.565267015937857
ENSG00000014138	POLA2	-0.1	0.92671247499627
ENSG00000014164	ZC3H3	0.2	0.796806125366537
ENSG00000014216	CAPN1	-0.1	0.695943231889958
ENSG00000014257	ACPP	0.2	0.738443795643001
ENSG00000014641	MDH1	0.1	0.718030149795349
ENSG00000014824	SLC30A9	0.1	0.338817695075642
ENSG00000014914	MTMR11	0.1	0.72997876747424
ENSG00000014919	COX15	-0.1	0.715404593509761
ENSG00000015133	CCDC88C	0.1	0.587834863275284
ENSG00000015153	YAF2	-0.1	0.883213963528224
ENSG00000015171	ZMYND11	-0.2	0.192905645874689
ENSG00000015285	WAS	0.4	0.253047769012414
ENSG00000015413	DPEP1	-0.7	0.00349484378955781
ENSG00000015479	MATR3	0.6	4.30061902852362E-6
ENSG00000015520	NPC1L1	0.3	0.603092715400645
ENSG00000015532	XYLT2	-0.3	0.432078358782919
ENSG00000015592	STMN4	-0.8	0.0978889422902774
ENSG00000015676	NUDCD3	-0.1	0.778522294384565
ENSG00000016082	ISL1	0.2	0.72959007941091
ENSG00000016391	CHDH	-0.5	0.0369748407387672
ENSG00000016402	IL20RA	0.6	0.251788512886052
ENSG00000016490	CLCA1	0.2	0.553677419763099
ENSG00000016602	CLCA4	1.1	0.00802899910092705
ENSG00000016864	GLT8D1	-0.2	0.594896857994456
ENSG00000017260	ATP2C1	0.5	7.79659881936084E-4
ENSG00000017427	IGF1	1.2	2.26497639527716E-4
ENSG00000017797	RALBP1	0.3	0.0740230711975733
ENSG00000018189	RUFY3	0.2	0.441798093601311
ENSG00000018236	CNTN1	-0.2	0.711639495430393
ENSG00000018280	SLC11A1	1.1	0.00175670494422449
ENSG00000018408	WWTR1	0.1	0.804098193846913
ENSG00000018610	CXorf56	-0.1	0.868887675383238
ENSG00000018625	ATP1A2	-0.1	0.839123971912704
ENSG00000018699	TTC27	-0.2	0.597293768451684
ENSG00000018869	ZNF582	0.2	0.801563948136863
ENSG00000019102	VSIG2	1.4	2.11615471386311E-4
ENSG00000019169	MARCO	0.3	0.656032237965143
ENSG00000019485	PRDM11	-0.3	0.288911108317418
ENSG00000019505	SYT13	-0.1	0.736934583214401
ENSG00000019549	SNAI2	0.2	0.739360099623886
ENSG00000019582	CD74	0.1	0.569508551863358
ENSG00000019991	HGF	-0.1	0.781706898252087
ENSG00000019995	ZRANB1	0.3	0.333456287156806
ENSG00000020129	NCDN	0.3	0.497686002516832
ENSG00000020181	ADGRA2	-0.2	0.497590346072194
ENSG00000020256	ZFP64	0.5	0.126115688669884
ENSG00000020426	MNAT1	0.8	0.00347663555598568
ENSG00000020577	SAMD4A	0.1	0.712206790250063
ENSG00000020633	RUNX3	0.3	0.255582741711838
ENSG00000020922	MRE11	0.2	0.481113902370323
ENSG00000021300	PLEKHB1	0.3	0.378694839836979
ENSG00000021355	SERPINB1	0.1	0.695287248665526
ENSG00000021461	CYP3A43	-0.7	0.127840558401038
ENSG00000021488	SLC7A9	-0.9	5.05827260260768E-4
ENSG00000021574	SPAST	0.2	0.557813200303258
ENSG00000021645	NRXN3	-0.4	0.151014318458314
ENSG00000021762	OSBPL5	-0.1	0.858707605980322
ENSG00000022556	NLRP2	-0.5	0.205915384815618
ENSG00000022567	SLC45A4	-1.1	1.03517256593804E-4
ENSG00000022840	RNF10	0.2	0.207226512120512
ENSG00000022976	ZNF839	-0.2	0.6091302673754
ENSG00000023041	ZDHHC6	-0.2	0.288296312909457
ENSG00000023171	GRAMD1B	-0.5	0.0103882920010633
ENSG00000023191	RNH1	0.2	0.652141767580559
ENSG00000023228	NDUFS1	-0.3	0.0107433561816604
ENSG00000023287	RB1CC1	-0.3	0.0457404429960652
ENSG00000023330	ALAS1	-0.2	0.571284392993514
ENSG00000023445	BIRC3	0.3	0.214375051560553
ENSG00000023516	AKAP11	0.5	4.35728124897743E-6
ENSG00000023572	GLRX2	-0.4	0.0887341227090898
ENSG00000023608	SNAPC1	0.3	0.481971703852811
ENSG00000023697	DERA	-0.3	0.165303953647649
ENSG00000023734	STRAP	0.3	0.213654728434405
ENSG00000023839	ABCC2	-0.1	0.766663618696187
ENSG00000023892	DEF6	0.1	0.802370151938978
ENSG00000023902	PLEKHO1	-0.1	0.809405505404878
ENSG00000023909	GCLM	0.2	0.604783368318872
ENSG00000024048	UBR2	-0.1	0.758512879807856
ENSG00000024422	EHD2	0.4	0.109169230079285
ENSG00000024862	CCDC28A	0.5	0.0353756383664921
ENSG00000025039	RRAGD	-0.3	0.419097957354539
ENSG00000025156	HSF2	0.4	0.315291222268141
ENSG00000025423	HSD17B6	0.4	0.235508586285265
ENSG00000025434	NR1H3	0.2	0.598331495930344
ENSG00000025708	TYMP	0.1	0.750660318599775
ENSG00000025770	NCAPH2	-0.1	0.822007981052975
ENSG00000025772	TOMM34	0.2	0.52767256015507
ENSG00000025796	SEC63	0.2	0.19561290323012
ENSG00000025800	KPNA6	0.3	0.151439412191028
ENSG00000026036	RTEL1-TNFRSF6B	-0.4	0.520540238731859
ENSG00000026103	FAS	0.1	0.739728202232666
ENSG00000026297	RNASET2	-0.2	0.389006304879818
ENSG00000026559	KCNG1	-0.1	0.889530751240682
ENSG00000026652	AGPAT4	-0.1	0.862304502159142
ENSG00000026751	SLAMF7	0.7	0.00215079064030344
ENSG00000026950	BTN3A1	0.4	0.0673256263950715
ENSG00000027075	PRKCH	0.2	0.406575728191274
ENSG00000027697	IFNGR1	-0.2	0.281669750695046
ENSG00000027847	B4GALT7	0.5	0.159443386059493
ENSG00000028116	VRK2	0.3	0.438905169139427
ENSG00000028137	TNFRSF1B	0.4	0.0363490259980348
ENSG00000028203	VEZT	0.2	0.406829475425576
ENSG00000028277	POU2F2	0.6	0.0653416896303007
ENSG00000028839	TBPL1	0.2	0.63534167187113
ENSG00000029153	ARNTL2	0.2	0.687497837717431
ENSG00000029363	BCLAF1	0.2	0.110133192476905
ENSG00000029534	ANK1	-0.5	0.301509457742433
ENSG00000029639	TFB1M	-0.1	0.777460962043546
ENSG00000029725	RABEP1	0.1	0.62369537320087
ENSG00000029993	HMGB3	0.5	0.0313036750677158
ENSG00000030066	NUP160	-0.1	0.743325262214427
ENSG00000030110	BAK1	0.3	0.418709577525367
ENSG00000030304	MUSK	-0.4	0.123986203714164
ENSG00000030419	IKZF2	0.7	0.0110035704948237
ENSG00000030582	GRN	1.6	2.09538653564429E-11
ENSG00000031081	ARHGAP31	0.1	0.862304502159142
ENSG00000031691	CENPQ	-0.2	0.802370151938978
ENSG00000031698	SARS1	-0.2	0.196481094891811
ENSG00000031823	RANBP3	-0.6	4.35728124897743E-6
ENSG00000032219	ARID4A	0.1	0.53897094961007
ENSG00000032389	EIPR1	-0.2	0.732793295956925
ENSG00000032444	PNPLA6	-0.4	0.0823938359532067
ENSG00000032742	IFT88	0.1	0.903804787769268
ENSG00000033011	ALG1	-0.7	0.0261586498567667
ENSG00000033030	ZCCHC8	0.4	0.0332266396628617
ENSG00000033100	CHPF2	-0.3	0.375801898328719
ENSG00000033122	LRRC7	0.3	0.485384961184348
ENSG00000033170	FUT8	0.2	0.232928967287729
ENSG00000033178	UBA6	0.2	0.528540908327953
ENSG00000033327	GAB2	-0.1	0.492400280226963
ENSG00000033627	ATP6V0A1	-0.1	0.518320823942111
ENSG00000033800	PIAS1	0.1	0.752954464115407
ENSG00000033867	SLC4A7	0.1	0.405907727967523
ENSG00000034053	APBA2	-0.2	0.668021995886679
ENSG00000034152	MAP2K3	0.8	0.00193592159346635
ENSG00000034239	EFCAB1	-0.7	0.155746597838053
ENSG00000034510	TMSB10	0.1	0.623523648643352
ENSG00000034533	ASTE1	-0.1	0.834503178266255
ENSG00000034677	RNF19A	-0.1	0.408690965879822
ENSG00000034971	MYOC	-1.2	0.00263822871818752
ENSG00000035115	SH3YL1	-0.1	0.662092940334298
ENSG00000035141	FAM136A	0.4	0.110133192476905
ENSG00000035403	VCL	-0.1	0.687367265044708
ENSG00000035499	DEPDC1B	-0.2	0.72296823840629
ENSG00000035664	DAPK2	-0.5	0.00457909122945101
ENSG00000035681	NSMAF	0.1	0.654964579640826
ENSG00000035687	ADSS2	-0.3	0.146168591396211
ENSG00000035720	STAP1	-0.7	0.170569453634144
ENSG00000035862	TIMP2	0.1	0.451182245925843
ENSG00000035928	RFC1	-0.1	0.62730202934274
ENSG00000036054	TBC1D23	-0.2	0.430328197364984
ENSG00000036257	CUL3	0.1	0.708440913691264
ENSG00000036448	MYOM2	-0.4	0.471612502925687
ENSG00000036473	OTC	0.1	0.74029668074815
ENSG00000036530	CYP46A1	0.7	0.093407027608552
ENSG00000036565	SLC18A1	0.2	0.695113975040682
ENSG00000036672	USP2	-0.6	0.0592776395186771
ENSG00000037042	TUBG2	0.1	0.917027871904135
ENSG00000037241	RPL26L1	-0.3	0.518729180398418
ENSG00000037280	FLT4	0.5	0.220577147450409
ENSG00000037474	NSUN2	0.6	2.29862345589779E-4
ENSG00000037637	FBXO42	-0.1	0.801861082709164
ENSG00000037749	MFAP3	0.1	0.649828168607968
ENSG00000037757	MRI1	-0.3	0.526228094958563
ENSG00000037897	METTL1	0.1	0.839025527058807
ENSG00000037965	HOXC8	0.2	0.698710301542131
ENSG00000038210	PI4K2B	0.6	0.0360717992051501
ENSG00000038219	BOD1L1	-0.1	0.203573416887972
ENSG00000038295	TLL1	-0.3	0.451762774865598
ENSG00000038358	EDC4	-0.6	0.0207102895447412
ENSG00000038382	TRIO	-0.2	0.0918236076989255
ENSG00000038427	VCAN	0.2	0.509904946876906
ENSG00000038532	CLEC16A	-0.3	0.207528723208242
ENSG00000038945	MSR1	0.4	0.247283233518047
ENSG00000039068	CDH1	-0.1	0.603935818390851
ENSG00000039123	MTREX	0.2	0.357063293553054
ENSG00000039139	DNAH5	-0.3	0.654777605968346
ENSG00000039319	ZFYVE16	0.3	0.143566259878313
ENSG00000039523	RIPOR1	0.3	0.238816656672744
ENSG00000039537	C6	-0.6	0.186582954261702
ENSG00000039560	RAI14	0.4	0.181718240838393
ENSG00000039650	PNKP	-0.3	0.590392618985374
ENSG00000039987	BEST2	0.2	0.830359217718856
ENSG00000040199	PHLPP2	-0.6	9.64121155718831E-4
ENSG00000040275	SPDL1	0.1	0.897942799482473
ENSG00000040341	STAU2	-0.1	0.805841089202178
ENSG00000040487	SLC66A1	-0.4	0.339578681915275
ENSG00000040531	CTNS	-0.1	0.802776790928775
ENSG00000040633	PHF23	0.4	0.213727005118215
ENSG00000040731	CDH10	-1.4	6.084150729311E-4
ENSG00000040933	INPP4A	-0.1	0.579894708068608
ENSG00000041357	PSMA4	0.3	0.206517592755513
ENSG00000041515	MYO16	0.4	0.390343755584605
ENSG00000041802	LSG1	-0.3	0.084701889688453
ENSG00000041880	PARP3	-0.1	0.857053156844672
ENSG00000041982	TNC	-0.2	0.480113448044557
ENSG00000041988	THAP3	0.3	0.622511380565909
ENSG00000042062	RIPOR3	0.2	0.347507146082253
ENSG00000042088	TDP1	0.2	0.572263342965163
ENSG00000042286	AIFM2	0.1	0.710207847818273
ENSG00000042317	AL049834.1	-0.5	0.135369430312748
ENSG00000042429	MED17	-0.2	0.397430619889564
ENSG00000042445	RETSAT	-0.2	0.405417361537055
ENSG00000042493	CAPG	-0.7	0.0620783354022279
ENSG00000042753	AP2S1	-0.2	0.598679987691638
ENSG00000042781	USH2A	0.4	0.338379170819216
ENSG00000042832	TG	-0.5	0.373977233827671
ENSG00000043039	BARX2	0.5	0.115488628933071
ENSG00000043143	JADE2	-0.5	0.0020894674053048
ENSG00000043462	LCP2	0.1	0.784663638837256
ENSG00000043591	ADRB1	0.1	0.947451512486642
ENSG00000044012	GUCA2B	-1.1	2.0658244463708E-4
ENSG00000044090	CUL7	-0.3	0.215649322237013
ENSG00000044115	CTNNA1	-0.2	0.0528997162122743
ENSG00000044446	PHKA2	-0.2	0.524886234026596
ENSG00000044459	CNTLN	0.4	0.0353790206955695
ENSG00000044524	EPHA3	-0.1	0.865723293143038
